id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
17	africa	-0.7858	-0.5603	3	5	6	5	2000.8	39.4	0.5561
26	agriculture	-0.7844	0.4499	1	5	10	6	2002.1667	104	1.13
95	business ethics	1.038	-0.272	2	7	14	10	2001.9	56.6	0.8027
131	china	0.7742	0.1454	2	3	3	5	2002	42.2	0.5591
168	community	0.012	-0.4277	3	6	7	6	2002.1667	125	2.1091
181	competitive advantage	-0.2319	-0.229	4	6	10	6	2003	75.1667	1.1689
222	corporate citizenship	1.0696	-0.1258	2	7	10	6	2002	152.8333	2.0141
227	corporate governance	0.7297	0.4428	2	5	8	8	2003	142.125	2.1723
240	corporate sustainability	0.7813	0.3016	2	2	4	6	2003.6667	200	3.226
282	csr	0.7289	-0.117	2	20	49	50	2002.32	160.92	2.4371
367	ecological footprint	-0.9115	-0.4434	1	1	1	5	2001.4	84.4	0.9703
405	efficiency	-0.0342	0.6084	1	4	5	5	2002.4	59.2	0.9808
449	environment	-0.6668	0.0183	1	9	21	16	2002.0625	100.875	1.19
486	environmental sustainability	0.3229	-0.8841	3	1	1	7	2002.5714	61.5714	0.94
508	ethics	0.4572	0.2352	2	15	25	16	2002.4375	89.0625	1.4294
546	externality	0.1008	0.6377	1	5	7	5	2003.2	19	0.276
567	fiscal policy	-0.3267	0.6676	1	1	2	6	2001.6667	15	0.2139
631	globalization	0.1233	-0.133	2	9	13	9	2002.6667	64.5556	0.9896
707	indicator	-0.6798	0.6324	1	3	8	6	2001.8333	95.1667	1.0701
746	institutions	0.2643	-0.5473	3	7	8	5	2002.4	39.2	0.5656
820	latin america	-0.997	0.0708	1	6	9	5	2002.4	51	0.764
1013	participation	-0.3482	-0.5481	3	9	10	6	2001.6667	43.3333	0.6807
1051	policy	-0.4251	0.4921	1	5	7	5	2002.6	46.8	0.5198
1070	poverty	-1.0462	-0.1466	1	7	10	6	2002.5	51.1667	0.7965
1180	resource-based view	-0.3256	-0.3837	4	2	4	5	2003	133.6	1.8827
1202	rural development	-0.9231	0.2569	3	3	3	6	2001.8333	35.6667	0.4403
1256	social capital	-0.0505	-0.1939	1	3	3	9	2002.5556	65.7778	1.0622
1271	social responsibility	0.9616	0.2771	2	7	10	8	2002.75	124.625	1.9721
1302	sri	1.0702	0.1508	2	3	4	5	2004	56.6	0.984
1305	stakeholder	0.4104	-0.0364	2	7	10	6	2002.6667	65	1.0198
1314	stakeholder theory	0.5244	-0.3767	2	6	11	6	2002.6667	201.6667	3.1874
1346	sustainability	-0.2377	0.2583	1	26	60	119	2002.2941	51.4034	0.7185
1367	sustainable development	-0.5943	-0.2204	1	15	25	33	2002.2727	76.0303	1.0528
