id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
72	accountability	0.3744	-0.8323	1	32	58	36	2012.4722	27.75	1.2325
80	accounting	-0.2685	-0.3744	1	25	44	24	2012.5417	25.0833	1.0253
208	africa	-0.0265	0.3671	1	18	34	30	2012	14.4333	0.6086
589	australia	0.0465	-0.1964	1	46	103	69	2011.9275	17.2609	0.7379
684	banks	1.0955	0.1189	2	21	40	20	2012.1	16.3	0.6579
982	brazil	0.0414	0.8386	3	28	65	37	2012.0541	17.8378	0.6805
1069	business	-0.4052	-0.6312	1	21	38	23	2012.3043	8.7391	0.3688
1107	business ethics	0.6376	0.668	2	44	152	84	2011.9405	18.7381	0.7871
1358	case study	-0.4282	0.4683	3	25	57	41	2012.6098	29.5122	1.4468
1528	china	0.1738	0.6045	2	52	151	140	2012.3857	24.2143	1.1477
1629	climate change	-0.7924	-0.4432	1	48	102	91	2011.8352	33.9451	1.3314
1838	communication	0.7343	-0.1322	2	36	70	34	2012.1765	21.2353	0.9141
1856	community	0.2492	-0.774	1	23	39	24	2012.25	18.8333	0.7995
1976	competitive advantage	-0.1	0.1133	3	43	78	43	2012.1628	27.3721	1.1935
2143	consumer behavior	-0.0583	0.2739	2	35	94	75	2012.1467	27.64	1.3042
2241	content analysis	0.8865	-0.2489	3	28	68	39	2011.9231	39.7949	1.5807
2369	corporate citizenship	0.1227	0.3993	2	25	56	28	2012.3214	18.5714	0.8263
2423	corporate governance	0.8778	0.137	2	68	287	165	2012.2909	34.7818	1.4793
2433	corporate image	0.6895	-0.4789	2	21	52	34	2011.2059	23.4412	0.8641
2462	corporate reputation	1.0335	0.0419	2	22	54	39	2012.8462	36.9231	1.6406
2465	corporate responsibility	-0.1614	-0.298	1	47	105	62	2012.371	25.1129	1.0499
2487	corporate social performance	0.7774	0.6141	2	36	109	64	2012.2812	29.3438	1.2712
2521	corporate strategy	-0.2464	0.1675	1	42	77	34	2011.5294	31.3235	1.19
2523	corporate sustainability	-0.1729	0.3009	3	47	91	75	2012.2933	38.4933	1.6171
2751	csr	0.4494	0.231	2	98	1813	1629	2012.1258	28.7397	1.2223
2880	culture	-0.3747	0.1779	1	32	59	27	2012.4444	16.3704	0.755
3031	decision making	-0.4997	0.2893	1	36	59	45	2012.2222	29.6889	1.2271
3194	developing country	0.4902	-0.5325	2	44	109	64	2012.25	25.25	1.0187
3202	development	-0.1061	-0.7085	1	36	66	36	2012.6389	14.6111	0.7499
3296	disclosure	1.0798	-0.1218	2	43	130	63	2011.9206	36.8095	1.5665
3646	economic development	0.067	-0.833	1	23	41	28	2012.5	8.7857	0.3805
3661	economic growth	-0.9496	-0.1469	1	27	45	43	2011.8605	12.7209	0.5414
3705	economic sustainability	-0.7243	0.582	3	33	65	48	2010.8958	29.8333	1.0321
3758	education	-0.922	-0.2603	1	24	35	23	2012.1739	6.4348	0.2956
3867	emerging markets	0.1329	-0.0971	2	35	65	30	2011.9	56.3	2.4347
3954	employees	0.783	0.4695	2	19	44	27	2012.2963	18.4444	0.847
4003	energy	-1.0145	-0.3418	1	19	37	34	2012.9412	16.9706	0.9166
4135	entrepreneurship	-1.0519	0.0433	1	22	46	34	2012.2353	33.6176	1.2527
4141	environment	-0.5906	-0.5211	1	59	186	103	2012.5534	30.6893	1.3465
4154	environmental	-0.7787	-0.7362	1	26	76	31	2012.6452	32.0968	1.4138
4276	environmental management	-0.1471	0.9093	3	49	154	96	2011.6458	38.3542	1.5737
4296	environmental performance	0.1264	0.9399	3	26	70	52	2012.6923	48.0962	2.2077
4305	environmental policy	-0.5334	0.7416	3	23	56	29	2012.2759	39.7241	1.6734
4353	environmental sustainability	-0.3297	0.9183	3	33	57	62	2012.5161	49.7903	2.1112
4511	ethics	0.0241	0.0256	2	60	210	124	2012.2016	18.4516	0.8533
4959	financial performance	0.5713	0.8937	2	36	107	65	2012.4154	39.5692	1.575
5442	gender	-0.6132	0.639	1	24	44	29	2012.1379	19.6552	0.8983
5500	germany	-0.4389	0.8756	3	18	37	22	2012	25.8182	1.1852
5561	global reporting initiative	1.0391	-0.413	3	24	50	25	2012.12	60.8	2.7255
5594	globalization	0.3146	-0.607	2	42	100	66	2012.0455	18.803	0.7554
5618	governance	-0.2744	-0.6007	1	61	156	105	2011.9333	31.6571	1.2038
5768	green marketing	-0.8787	-0.0044	1	24	57	42	2012.2143	50.0238	2.0715
6216	human resource management	0.2966	0.9634	2	29	55	42	2012.2143	19.6905	0.8101
6223	human rights	0.4264	-0.6501	2	23	51	29	2011.931	13.069	0.5215
6446	india	0.1141	-0.3677	2	45	100	68	2012.3235	13.2059	0.5676
6643	innovation	-0.8579	0.1987	1	58	164	122	2012.3607	28.6885	1.2288
6749	institutional theory	0.7635	-0.3164	2	42	103	71	2012.2254	42.2676	1.875
6760	institutions	0.0587	-0.6842	1	31	65	46	2012.1739	26.7391	1.1215
7183	italy	0.1782	0.8242	3	25	40	21	2012.1429	34.619	1.2746
7442	leadership	-0.5933	0.2041	1	37	95	58	2011.8793	16.9483	0.6857
7474	learning	-0.8008	0.0826	1	22	39	28	2011.9643	20.2143	0.8707
7511	legitimacy	0.7527	-0.5862	2	36	93	60	2012.35	35.9833	1.6474
7842	malaysia	0.8933	-0.1389	2	30	70	40	2012.025	18.025	0.7956
7856	management	-0.1235	-0.1815	1	38	91	51	2012.6471	12.4706	0.5456
8029	marketing	-0.3473	-0.7776	1	32	61	36	2012.5833	14.0556	0.6141
8542	multinational companies	0.5013	0.6367	2	30	56	21	2011.1905	16.9524	0.6064
9290	organizational change	-0.6509	0.3673	1	32	73	45	2011.9556	19.8667	0.8705
9307	organizational culture	-0.0071	0.7161	3	32	62	28	2011.5357	23.5357	0.9345
9363	organizations	-0.0959	-0.5898	1	28	47	28	2012.0714	22.8929	0.9744
9635	performance	-0.3709	-0.4378	1	36	74	51	2012.3922	23.902	1.0976
10011	poverty	-0.1718	-0.8023	1	24	49	35	2012.4857	12.6	0.6087
10771	regulation	0.0155	-0.589	1	32	62	42	2012	16.6429	0.6736
10877	reporting	0.1353	-0.7403	1	24	56	25	2012.32	43.08	1.6768
10999	responsibility	-0.1182	-0.4733	1	23	42	23	2012.5217	18	0.8495
11129	risk management	-0.0215	-0.3888	1	36	66	37	2012.0541	20.3243	0.9208
11689	sme	-0.3986	0.636	3	53	133	75	2011.88	27.2533	1.1061
11703	social	-0.6476	-0.773	1	29	83	30	2012.6667	29.5667	1.307
11740	social capital	0.1705	-0.5019	1	36	73	41	2012.4878	14.9512	0.6183
11796	social entrepreneurship	-0.6061	0.4655	1	20	44	36	2012.2778	22.3056	0.833
11894	social responsibility	0.3302	-0.3025	2	87	376	224	2012.0134	19.9643	0.8289
12104	spain	0.2301	-0.1239	2	28	60	38	2012.1579	16.3947	0.7112
12173	sri	0.3399	0.6338	2	29	74	58	2012.5517	24.1379	1.0479
12197	stakeholder	0.5669	-0.2245	2	71	327	169	2012.1006	27.3669	1.2089
12201	stakeholder analysis	0.3279	0.8294	2	31	59	29	2011.069	24.7241	0.8636
12212	stakeholder engagement	0.4585	0.7982	3	32	80	38	2012.4737	30.2368	1.4123
