id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
141	accountability	0.4254	0.6609	2	36	91	63	2017.1429	7.1905	1.0927
375	africa	-0.2572	-0.6942	3	21	42	45	2017.0222	7.1111	1.3058
409	agency theory	1.034	-0.2569	2	31	70	42	2017.3333	8.0714	1.822
937	assurance	0.8407	0.5848	2	26	70	38	2017.1316	9.3684	1.4684
1236	banks	0.8784	-0.0983	2	31	62	38	2017.0263	3.3684	0.9403
1618	board of directors	1.1742	0.0217	2	31	91	50	2016.8	9.76	1.4557
2010	business ethics	0.2529	-0.6382	2	35	106	74	2016.7432	3.7162	0.585
2040	business model	-0.7048	0.6337	1	32	71	49	2016.9592	9.4898	1.5261
2400	case study	-0.1249	0.6807	1	43	97	87	2017.3678	7.7011	1.3066
2666	china	0.2222	0.1612	2	62	185	194	2017.201	6.9897	1.3608
2726	circular economy	-0.893	0.2348	1	26	79	71	2018.1127	11.5915	4.0665
2842	climate change	-0.1949	0.3986	1	43	150	157	2017.2166	5.5096	1.1186
3031	collaboration	-0.4156	-0.1165	1	31	75	53	2016.8491	6.2264	0.8364
3196	communication	0.0851	-0.3371	2	31	71	40	2017	4.3	0.8148
3409	competitive advantage	-0.3636	-0.4867	1	35	62	41	2016.9756	9.561	1.6676
3708	consumer behavior	-0.3163	-0.2791	1	22	55	63	2017.0794	4.1111	0.7125
3889	content analysis	0.7763	0.3386	2	45	140	100	2017.26	6.18	1.1897
4175	corporate governance	0.8673	0.0797	2	69	444	296	2017.1318	6.8919	1.3388
4250	corporate reputation	0.7205	-0.5526	2	35	100	73	2017.3973	4.9315	1.3962
4254	corporate responsibility	0.1331	0.2851	3	40	82	47	2016.4468	6.766	1.0235
4295	corporate social performance	0.9228	-0.5318	2	34	112	88	2017.0341	6.9318	1.2342
4352	corporate sustainability	-0.0175	0.0745	4	53	150	141	2017.2128	9.6312	2.0378
4793	csr	0.4352	-0.1499	2	97	2159	2501	2017.072	6.4606	1.1758
4836	csr disclosure	1.1771	-0.2947	2	23	63	56	2017.625	5.7321	1.3975
4944	csr reporting	1.0598	0.2721	2	32	80	66	2017.0758	7.1667	1.2635
5049	culture	-0.1722	-0.2244	3	28	49	40	2017.025	6.1	1.0716
5317	decision making	-0.6307	-0.1624	1	28	63	62	2016.8065	6.3871	1.0617
5575	developing country	0.1272	-0.5667	2	42	103	93	2016.9355	6.0215	1.1519
5583	development	-0.9235	0.329	1	25	56	45	2017.2667	3.6222	0.6463
5771	disclosure	0.6609	0.5234	2	42	124	79	2017.4177	5.8101	1.3778
6366	economic growth	-0.7999	0.3481	1	21	54	68	2017.3529	3.5	0.5919
6548	efficiency	-0.887	0.4589	1	26	56	50	2017.12	4.32	0.616
6700	emerging markets	0.5044	0.3528	2	34	70	45	2017.3778	3.3556	0.8418
6927	energy	-1.0125	0.4418	1	17	56	47	2016.8511	7.6596	1.4155
7172	entrepreneurship	-0.9673	-0.1213	1	40	120	93	2017.2366	3.6022	0.7666
7191	environment	-0.3161	0.6011	1	57	228	146	2016.8151	5.7123	1.028
7210	environmental	0.2601	0.6408	3	36	114	57	2016.8947	10.9474	1.7338
7374	environmental management	-0.376	-0.6497	4	41	111	74	2017.0135	8.4054	1.4948
7413	environmental performance	0.0204	-0.7601	4	43	94	90	2017.1778	7.5	1.4824
7424	environmental policy	0.0472	-0.8984	4	30	94	63	2017.5238	6.4127	1.8048
7501	environmental sustainability	-0.5016	-0.4373	1	47	85	127	2017.1654	9.8189	1.846
7637	esg	1.0631	0.1734	2	27	63	40	2017.9	3.85	1.1779
7775	ethics	-0.02	-0.1104	1	45	156	94	2016.7234	4.8191	0.9502
8539	financial performance	0.6238	-0.662	2	50	186	147	2017.2313	7.381	1.436
8637	firm performance	0.7899	-0.2558	2	34	86	78	2017.3974	9.5256	1.8529
8657	firm value	0.9118	-0.233	2	30	85	58	2017.6034	7.4655	1.9145
9320	gender	-0.5856	-0.3506	1	30	66	52	2016.8654	7.5962	1.3577
9557	global reporting initiative	1.1164	0.3615	2	25	73	41	2016.6585	11.9512	1.8705
9591	globalization	0.0926	0.4489	3	33	71	56	2016.8214	7.6429	1.1298
